n_estimators,row_id,estimator,true,logit_No,logit_Yes,p_Yes
10,0,0,No,-0.000758936,-7.10864,0.000817962
10,1,0,No,-0.000514998,-7.46348,0.000573623
10,2,0,No,-0.0742485,-2.6364,0.0716144
10,3,0,Yes,-2.93322,-0.0546317,0.946778
10,4,0,No,-0.00684873,-4.97846,0.00688426
10,5,0,Yes,-2.41375,-0.0936735,0.910526
10,6,0,No,-0.349537,-1.22063,0.295027
10,7,0,No,-0.0798569,-2.5664,0.0768068
10,8,0,No,-1.18412,-0.365223,0.694001
10,9,0,No,-0.003259,-5.70987,0.00331289
10,10,0,No,-0.000444809,-7.59334,0.000503766
10,11,0,No,-0.00268157,-5.90082,0.00273703
10,12,0,No,-0.000626283,-7.28525,0.000685536
10,13,0,No,-0.0698901,-2.6947,0.0675588
10,14,0,Yes,-0.121619,-2.16654,0.114567
10,15,0,Yes,-1.39851,-0.283564,0.753051
10,16,0,No,-0.0012008,-6.67711,0.00125933
10,17,0,No,-0.000694397,-7.1907,0.000753517
10,18,0,Yes,-2.701,-0.0694346,0.932866
10,19,0,Yes,-2.68423,-0.0706533,0.93173
10,20,0,Yes,-1.99751,-0.145735,0.864336
10,21,0,Yes,-4.23913,-0.0144648,0.985581
10,22,0,Yes,-3.23732,-0.0399993,0.960733
10,23,0,Yes,-2.36016,-0.0990973,0.905601
10,24,0,Yes,-2.75094,-0.0659349,0.936136
10,25,0,Yes,-3.08712,-0.0466449,0.954369
10,26,0,No,-0.0780705,-2.58813,0.0751559
10,27,0,No,-0.0087952,-4.73119,0.00881545
10,28,0,No,-0.838437,-0.566209,0.56764
10,29,0,Yes,-0.965862,-0.478998,0.619367
10,30,0,Yes,-4.47486,-0.0113975,0.988609
10,31,0,Yes,-1.69519,-0.202735,0.816447
10,32,0,No,-0.489945,-0.948302,0.387376
10,33,0,Yes,-0.836476,-0.567706,0.566791
10,34,0,Yes,-0.28098,-1.40643,0.245001
10,35,0,No,-0.980183,-0.470298,0.624779
10,36,0,Yes,-3.25372,-0.0393346,0.961372
10,37,0,Yes,-4.40117,-0.0122786,0.987738
10,38,0,Yes,-1.27444,-0.327849,0.72043
10,39,0,No,-0.00363342,-5.60321,0.00368581
10,40,0,Yes,-2.93269,-0.0546609,0.94675
10,41,0,Yes,-2.33064,-0.102227,0.902772
10,42,0,No,-9.35837e-05,-8.78633,0.000152798
10,43,0,Yes,-3.39853,-0.0339327,0.96658
10,44,0,Yes,-4.57306,-0.0103202,0.989674
10,45,0,No,-0.333688,-1.25955,0.283764
10,46,0,No,-1.76174,-0.188365,0.828264
10,47,0,Yes,-3.40743,-0.0336261,0.966876
10,48,0,Yes,-3.87364,-0.0209416,0.979219
10,49,0,No,-0.00363108,-5.60367,0.00368408
10,50,0,No,-0.00330397,-5.69631,0.00335812
10,51,0,No,-0.0425183,-3.17759,0.0416836
10,52,0,No,-0.01201,-4.42306,0.0119968
10,53,0,No,-0.0236716,-3.75274,0.0234521
10,54,0,Yes,-4.28952,-0.013747,0.986289
10,55,0,Yes,-1.09595,-0.406709,0.665798
10,56,0,Yes,-1.77435,-0.185769,0.830417
10,57,0,Yes,-3.18636,-0.0421387,0.95868
10,58,0,Yes,-4.62084,-0.00983385,0.990156
10,59,0,No,-0.000440814,-7.60143,0.000499705
10,60,0,Yes,-2.5629,-0.0801484,0.922924
10,61,0,Yes,-4.48891,-0.0112367,0.988768
10,62,0,Yes,-4.77469,-0.00841699,0.99156
10,63,0,Yes,-0.259487,-1.47573,0.228598
10,64,0,Yes,-2.96994,-0.0526072,0.948697
10,65,0,Yes,-2.66771,-0.0718748,0.930593
10,66,0,Yes,-1.34519,-0.301689,0.739524
10,67,0,Yes,-4.55366,-0.0105242,0.989472
10,68,0,No,-0.406128,-1.09711,0.333814
10,69,0,No,-0.135691,-2.06398,0.12694
10,70,0,Yes,-3.81435,-0.0222389,0.977949
10,71,0,No,-0.00899919,-4.70848,0.00901792
10,72,0,Yes,-0.881661,-0.534497,0.58593
