n_estimators,row_id,estimator,true,logit_No,logit_Yes,p_Yes
4,0,0,No,-0.000758936,-7.10864,0.000817962
4,1,0,No,-0.000514998,-7.46348,0.000573623
4,2,0,No,-0.0742485,-2.6364,0.0716144
4,3,0,Yes,-2.93322,-0.0546317,0.946778
4,4,0,No,-0.00684873,-4.97846,0.00688426
4,5,0,Yes,-2.41375,-0.0936735,0.910526
4,6,0,No,-0.349537,-1.22063,0.295027
4,7,0,No,-0.0798569,-2.5664,0.0768068
4,8,0,No,-1.18412,-0.365223,0.694001
4,9,0,No,-0.003259,-5.70987,0.00331289
4,10,0,No,-0.000444809,-7.59334,0.000503766
4,11,0,No,-0.00268157,-5.90082,0.00273703
4,12,0,No,-0.000626283,-7.28525,0.000685536
4,13,0,No,-0.0698901,-2.6947,0.0675588
4,14,0,Yes,-0.121619,-2.16654,0.114567
4,15,0,Yes,-1.39851,-0.283564,0.753051
4,16,0,No,-0.0012008,-6.67711,0.00125933
4,17,0,No,-0.000694397,-7.1907,0.000753517
4,18,0,Yes,-2.701,-0.0694346,0.932866
4,19,0,Yes,-2.68423,-0.0706533,0.93173
4,20,0,Yes,-1.99751,-0.145735,0.864336
4,21,0,Yes,-4.23913,-0.0144648,0.985581
4,22,0,Yes,-3.23732,-0.0399993,0.960733
4,23,0,Yes,-2.36016,-0.0990973,0.905601
4,24,0,Yes,-2.75094,-0.0659349,0.936136
4,25,0,Yes,-3.08712,-0.0466449,0.954369
4,26,0,No,-0.0780705,-2.58813,0.0751559
4,27,0,No,-0.0087952,-4.73119,0.00881545
4,28,0,No,-0.838437,-0.566209,0.56764
4,29,0,Yes,-0.965862,-0.478998,0.619367
4,30,0,Yes,-4.47486,-0.0113975,0.988609
4,31,0,Yes,-1.69519,-0.202735,0.816447
4,32,0,No,-0.489945,-0.948302,0.387376
4,33,0,Yes,-0.836476,-0.567706,0.566791
4,34,0,Yes,-0.28098,-1.40643,0.245001
4,35,0,No,-0.980183,-0.470298,0.624779
4,36,0,Yes,-3.25372,-0.0393346,0.961372
4,37,0,Yes,-4.40117,-0.0122786,0.987738
4,38,0,Yes,-1.27444,-0.327849,0.72043
4,39,0,No,-0.00363342,-5.60321,0.00368581
4,40,0,Yes,-2.93269,-0.0546609,0.94675
4,41,0,Yes,-2.33064,-0.102227,0.902772
4,42,0,No,-9.35837e-05,-8.78633,0.000152798
4,43,0,Yes,-3.39853,-0.0339327,0.96658
4,44,0,Yes,-4.57306,-0.0103202,0.989674
4,45,0,No,-0.333688,-1.25955,0.283764
4,46,0,No,-1.76174,-0.188365,0.828264
4,47,0,Yes,-3.40743,-0.0336261,0.966876
4,48,0,Yes,-3.87364,-0.0209416,0.979219
4,49,0,No,-0.00363108,-5.60367,0.00368408
4,50,0,No,-0.00330397,-5.69631,0.00335812
4,51,0,No,-0.0425183,-3.17759,0.0416836
4,52,0,No,-0.01201,-4.42306,0.0119968
4,53,0,No,-0.0236716,-3.75274,0.0234521
4,54,0,Yes,-4.28952,-0.013747,0.986289
4,55,0,Yes,-1.09595,-0.406709,0.665798
4,56,0,Yes,-1.77435,-0.185769,0.830417
4,57,0,Yes,-3.18636,-0.0421387,0.95868
4,58,0,Yes,-4.62084,-0.00983385,0.990156
4,59,0,No,-0.000440814,-7.60143,0.000499705
4,60,0,Yes,-2.5629,-0.0801484,0.922924
4,61,0,Yes,-4.48891,-0.0112367,0.988768
4,62,0,Yes,-4.77469,-0.00841699,0.99156
4,63,0,Yes,-0.259487,-1.47573,0.228598
4,64,0,Yes,-2.96994,-0.0526072,0.948697
4,65,0,Yes,-2.66771,-0.0718748,0.930593
4,66,0,Yes,-1.34519,-0.301689,0.739524
4,67,0,Yes,-4.55366,-0.0105242,0.989472
4,68,0,No,-0.406128,-1.09711,0.333814
4,69,0,No,-0.135691,-2.06398,0.12694
4,70,0,Yes,-3.81435,-0.0222389,0.977949
4,71,0,No,-0.00899919,-4.70848,0.00901792
4,72,0,Yes,-0.881661,-0.534497,0.58593
4,73,0,No,-9.30472e-05,-8.7895,0.000152315
4,74,0,Yes,-2.29909,-0.105683,0.899656
4,75,0,No,-0.476548,-0.96986,0.379114
4,76,0,No,-0.0226705,-3.79536,0.0224735
4,77,0,No,-0.000244767,-8.0983,0.000304039
4,78,0,Yes,-4.59278,-0.0101171,0.989876
4,79,0,Yes,-4.0904,-0.0168137,0.983268
4,80,0,Yes,-0.242988,-1.53351,0.215765
4,81,0,Yes,-0.20959,-1.66526,0.189131
4,82,0,No,-3.65875,-0.0260418,0.974237
4,83,0,Yes,-2.38063,-0.0969886,0.907513
4,84,0,Yes,-2.16087,-0.122354,0.884782
4,85,0,Yes,-3.38605,-0.0343661,0.96616
4,86,0,Yes,-4.35561,-0.0128573,0.987166
4,87,0,Yes,-4.22875,-0.0146178,0.98543
4,88,0,Yes,-2.28909,-0.106806,0.898648
4,89,0,Yes,-2.5392,-0.0821542,0.921075
4,90,0,Yes,-2.71233,-0.0686245,0.933622
4,91,0,Yes,-2.86308,-0.0587244,0.942911
4,92,0,Yes,-0.517072,-0.906849,0.403771
4,93,0,Yes,-3.03799,-0.049055,0.952072
4,94,0,Yes,-0.596183,-0.800402,0.449122
4,95,0,Yes,-5.20754,-0.00543088,0.994525
4,96,0,Yes,-3.54906,-0.0291129,0.97125
4,97,0,No,-0.250615,-1.50627,0.221723
4,98,0,Yes,-3.36804,-0.0350032,0.965545
4,99,0,No,-0.0389099,-3.26435,0.0382196
4,100,0,No,-0.319005,-1.2976,0.273171
4,101,0,Yes,-2.06386,-0.135709,0.873045
4,102,0,Yes,-2.23885,-0.112635,0.893425
4,103,0,Yes,-1.24799,-0.338306,0.712935
4,104,0,No,-0.389961,-1.13018,0.322957
4,105,0,No,-0.673589,-0.712976,0.490154
4,106,0,No,-0.000289601,-7.96057,0.000348934
4,107,0,No,-0.0163594,-4.11747,0.0162847
4,108,0,No,-0.00929863,-4.67611,0.00931467
4,109,0,No,-0.028501,-3.56994,0.028156
4,110,0,Yes,-4.02312,-0.0179996,0.982104
4,111,0,No,-0.00181936,-6.27807,0.0018769
4,112,0,No,-0.00331456,-5.69325,0.00336842
4,113,0,No,-0.360341,-1.19528,0.302603
4,114,0,Yes,-2.91857,-0.0554623,0.945992
4,115,0,No,-0.000125654,-8.5949,0.000185036
4,116,0,No,-0.000249715,-8.08113,0.000309302
4,117,0,Yes,-4.85096,-0.00779182,0.99218
4,118,0,No,-0.464547,-0.989831,0.371618
4,119,0,No,-0.000154269,-8.44976,0.000213938
4,120,0,Yes,-4.79026,-0.0082853,0.99169
4,121,0,Yes,-4.86947,-0.00764832,0.992323
4,122,0,No,-0.0157061,-4.15772,0.0156422
4,123,0,Yes,-4.12031,-0.016313,0.983761
4,124,0,No,-0.000762157,-7.10493,0.000821001
4,125,0,No,-0.177731,-1.81467,0.162882
4,126,0,Yes,-3.12831,-0.0447181,0.956211
4,127,0,Yes,-3.0198,-0.049981,0.951192
4,128,0,No,-0.192209,-1.7434,0.174914
4,129,0,No,-0.000164284,-8.40397,0.000223963
4,130,0,No,-0.000124045,-8.60246,0.000183643
4,131,0,No,-0.000144134,-8.49918,0.000203622
4,132,0,No,-0.0018737,-6.24958,0.00193114
4,133,0,Yes,-2.49539,-0.0859998,0.91754
4,134,0,Yes,-3.81648,-0.0221902,0.977996
4,135,0,No,-0.00141518,-6.52019,0.0014733
4,136,0,Yes,-0.565243,-0.839707,0.431812
4,137,0,Yes,-1.52853,-0.24436,0.783159
4,138,0,Yes,-0.295646,-1.36255,0.255993
4,139,0,Yes,-2.29004,-0.106698,0.898744
4,140,0,No,-0.32831,-1.27325,0.279903
4,141,0,Yes,-3.08245,-0.046869,0.954156
4,142,0,No,-0.00587259,-5.13039,0.0059139
4,143,0,No,-3.24081,-0.0398574,0.96087
4,144,0,No,-4.55986e-05,-9.16593,0.000104535
4,145,0,Yes,-2.12151,-0.127597,0.880156
4,146,0,Yes,-1.57504,-0.231856,0.793014
