n_estimators,row_id,estimator,true,logit_No,logit_Yes,p_Yes
6,0,0,No,-0.000758936,-7.10864,0.000817962
6,1,0,No,-0.000514998,-7.46348,0.000573623
6,2,0,No,-0.0742485,-2.6364,0.0716144
6,3,0,Yes,-2.93322,-0.0546317,0.946778
6,4,0,No,-0.00684873,-4.97846,0.00688426
6,5,0,Yes,-2.41375,-0.0936735,0.910526
6,6,0,No,-0.349537,-1.22063,0.295027
6,7,0,No,-0.0798569,-2.5664,0.0768068
6,8,0,No,-1.18412,-0.365223,0.694001
6,9,0,No,-0.003259,-5.70987,0.00331289
6,10,0,No,-0.000444809,-7.59334,0.000503766
6,11,0,No,-0.00268157,-5.90082,0.00273703
6,12,0,No,-0.000626283,-7.28525,0.000685536
6,13,0,No,-0.0698901,-2.6947,0.0675588
6,14,0,Yes,-0.121619,-2.16654,0.114567
6,15,0,Yes,-1.39851,-0.283564,0.753051
6,16,0,No,-0.0012008,-6.67711,0.00125933
6,17,0,No,-0.000694397,-7.1907,0.000753517
6,18,0,Yes,-2.701,-0.0694346,0.932866
6,19,0,Yes,-2.68423,-0.0706533,0.93173
6,20,0,Yes,-1.99751,-0.145735,0.864336
6,21,0,Yes,-4.23913,-0.0144648,0.985581
6,22,0,Yes,-3.23732,-0.0399993,0.960733
6,23,0,Yes,-2.36016,-0.0990973,0.905601
6,24,0,Yes,-2.75094,-0.0659349,0.936136
6,25,0,Yes,-3.08712,-0.0466449,0.954369
6,26,0,No,-0.0780705,-2.58813,0.0751559
6,27,0,No,-0.0087952,-4.73119,0.00881545
6,28,0,No,-0.838437,-0.566209,0.56764
6,29,0,Yes,-0.965862,-0.478998,0.619367
6,30,0,Yes,-4.47486,-0.0113975,0.988609
6,31,0,Yes,-1.69519,-0.202735,0.816447
6,32,0,No,-0.489945,-0.948302,0.387376
6,33,0,Yes,-0.836476,-0.567706,0.566791
6,34,0,Yes,-0.28098,-1.40643,0.245001
6,35,0,No,-0.980183,-0.470298,0.624779
6,36,0,Yes,-3.25372,-0.0393346,0.961372
6,37,0,Yes,-4.40117,-0.0122786,0.987738
6,38,0,Yes,-1.27444,-0.327849,0.72043
6,39,0,No,-0.00363342,-5.60321,0.00368581
6,40,0,Yes,-2.93269,-0.0546609,0.94675
6,41,0,Yes,-2.33064,-0.102227,0.902772
6,42,0,No,-9.35837e-05,-8.78633,0.000152798
6,43,0,Yes,-3.39853,-0.0339327,0.96658
6,44,0,Yes,-4.57306,-0.0103202,0.989674
6,45,0,No,-0.333688,-1.25955,0.283764
6,46,0,No,-1.76174,-0.188365,0.828264
6,47,0,Yes,-3.40743,-0.0336261,0.966876
6,48,0,Yes,-3.87364,-0.0209416,0.979219
6,49,0,No,-0.00363108,-5.60367,0.00368408
6,50,0,No,-0.00330397,-5.69631,0.00335812
6,51,0,No,-0.0425183,-3.17759,0.0416836
6,52,0,No,-0.01201,-4.42306,0.0119968
6,53,0,No,-0.0236716,-3.75274,0.0234521
6,54,0,Yes,-4.28952,-0.013747,0.986289
6,55,0,Yes,-1.09595,-0.406709,0.665798
6,56,0,Yes,-1.77435,-0.185769,0.830417
6,57,0,Yes,-3.18636,-0.0421387,0.95868
6,58,0,Yes,-4.62084,-0.00983385,0.990156
6,59,0,No,-0.000440814,-7.60143,0.000499705
6,60,0,Yes,-2.5629,-0.0801484,0.922924
6,61,0,Yes,-4.48891,-0.0112367,0.988768
6,62,0,Yes,-4.77469,-0.00841699,0.99156
6,63,0,Yes,-0.259487,-1.47573,0.228598
6,64,0,Yes,-2.96994,-0.0526072,0.948697
6,65,0,Yes,-2.66771,-0.0718748,0.930593
6,66,0,Yes,-1.34519,-0.301689,0.739524
6,67,0,Yes,-4.55366,-0.0105242,0.989472
6,68,0,No,-0.406128,-1.09711,0.333814
6,69,0,No,-0.135691,-2.06398,0.12694
6,70,0,Yes,-3.81435,-0.0222389,0.977949
6,71,0,No,-0.00899919,-4.70848,0.00901792
6,72,0,Yes,-0.881661,-0.534497,0.58593
6,73,0,No,-9.30472e-05,-8.7895,0.000152315
6,74,0,Yes,-2.29909,-0.105683,0.899656
6,75,0,No,-0.476548,-0.96986,0.379114
6,76,0,No,-0.0226705,-3.79536,0.0224735
6,77,0,No,-0.000244767,-8.0983,0.000304039
6,78,0,Yes,-4.59278,-0.0101171,0.989876
6,79,0,Yes,-4.0904,-0.0168137,0.983268
6,80,0,Yes,-0.242988,-1.53351,0.215765
6,81,0,Yes,-0.20959,-1.66526,0.189131
6,82,0,No,-3.65875,-0.0260418,0.974237
6,83,0,Yes,-2.38063,-0.0969886,0.907513
6,84,0,Yes,-2.16087,-0.122354,0.884782
6,85,0,Yes,-3.38605,-0.0343661,0.96616
6,86,0,Yes,-4.35561,-0.0128573,0.987166
6,87,0,Yes,-4.22875,-0.0146178,0.98543
6,88,0,Yes,-2.28909,-0.106806,0.898648
6,89,0,Yes,-2.5392,-0.0821542,0.921075
6,90,0,Yes,-2.71233,-0.0686245,0.933622
6,91,0,Yes,-2.86308,-0.0587244,0.942911
6,92,0,Yes,-0.517072,-0.906849,0.403771
6,93,0,Yes,-3.03799,-0.049055,0.952072
6,94,0,Yes,-0.596183,-0.800402,0.449122
6,95,0,Yes,-5.20754,-0.00543088,0.994525
6,96,0,Yes,-3.54906,-0.0291129,0.97125
6,97,0,No,-0.250615,-1.50627,0.221723
6,98,0,Yes,-3.36804,-0.0350032,0.965545
6,99,0,No,-0.0389099,-3.26435,0.0382196
6,100,0,No,-0.319005,-1.2976,0.273171
6,101,0,Yes,-2.06386,-0.135709,0.873045
6,102,0,Yes,-2.23885,-0.112635,0.893425
6,103,0,Yes,-1.24799,-0.338306,0.712935
6,104,0,No,-0.389961,-1.13018,0.322957
6,105,0,No,-0.673589,-0.712976,0.490154
6,106,0,No,-0.000289601,-7.96057,0.000348934
6,107,0,No,-0.0163594,-4.11747,0.0162847
6,108,0,No,-0.00929863,-4.67611,0.00931467
6,109,0,No,-0.028501,-3.56994,0.028156
6,110,0,Yes,-4.02312,-0.0179996,0.982104
6,111,0,No,-0.00181936,-6.27807,0.0018769
6,112,0,No,-0.00331456,-5.69325,0.00336842
6,113,0,No,-0.360341,-1.19528,0.302603
6,114,0,Yes,-2.91857,-0.0554623,0.945992
6,115,0,No,-0.000125654,-8.5949,0.000185036
6,116,0,No,-0.000249715,-8.08113,0.000309302
6,117,0,Yes,-4.85096,-0.00779182,0.99218
6,118,0,No,-0.464547,-0.989831,0.371618
6,119,0,No,-0.000154269,-8.44976,0.000213938
6,120,0,Yes,-4.79026,-0.0082853,0.99169
6,121,0,Yes,-4.86947,-0.00764832,0.992323
6,122,0,No,-0.0157061,-4.15772,0.0156422
6,123,0,Yes,-4.12031,-0.016313,0.983761
6,124,0,No,-0.000762157,-7.10493,0.000821001
6,125,0,No,-0.177731,-1.81467,0.162882
6,126,0,Yes,-3.12831,-0.0447181,0.956211
6,127,0,Yes,-3.0198,-0.049981,0.951192
6,128,0,No,-0.192209,-1.7434,0.174914
6,129,0,No,-0.000164284,-8.40397,0.000223963
6,130,0,No,-0.000124045,-8.60246,0.000183643
6,131,0,No,-0.000144134,-8.49918,0.000203622
6,132,0,No,-0.0018737,-6.24958,0.00193114
6,133,0,Yes,-2.49539,-0.0859998,0.91754
6,134,0,Yes,-3.81648,-0.0221902,0.977996
6,135,0,No,-0.00141518,-6.52019,0.0014733
6,136,0,Yes,-0.565243,-0.839707,0.431812
6,137,0,Yes,-1.52853,-0.24436,0.783159
6,138,0,Yes,-0.295646,-1.36255,0.255993
6,139,0,Yes,-2.29004,-0.106698,0.898744
6,140,0,No,-0.32831,-1.27325,0.279903
6,141,0,Yes,-3.08245,-0.046869,0.954156
6,142,0,No,-0.00587259,-5.13039,0.0059139
6,143,0,No,-3.24081,-0.0398574,0.96087
6,144,0,No,-4.55986e-05,-9.16593,0.000104535
6,145,0,Yes,-2.12151,-0.127597,0.880156
6,146,0,Yes,-1.57504,-0.231856,0.793014
6,147,0,Yes,-2.17175,-0.120947,0.886028
6,148,0,Yes,-0.251208,-1.50419,0.222185
